Player Name;Weight
Miki Jankovic;2,5
Miliaan Niesten;3
Miljan Zekic;3
Milos Sekulic;3
Miloslav Mecir Jr;1,5
Min Kyu Song;3,5
Miomir Kecmanovic;3
Mircea Alexandru Jecan;3,5
Mirko Cutuli;3,5
Mirza Basic;1
Mischa Zverev;2
Mislav Bosnjak;4,5
Mitchell Krueger;2
Moez Echargui;3,5
Mohamed Safwat;2
Mousa Shanan Zayed;3,5
Muhammet Haylaz;3
N Sriram Balaji;2,5
N Vijay Sundar Prashanth;2
Nam Hoang Ly;3,5
Naoki Nakagawa;3,5
Nathan Pasha;2,5
Nathaniel Lammons;3
Natthasith Kunsuwan;4,5
Neil Pauffley;3,5
Nerman Fatic;3,5
Nicaise Muamba;3
Nicholas S Hu;3,5
Nick Chappell;3,5
Nick Hardt;4
Nico Matic;3
Nicola Ghedin;3
Nicola Kuhn;3
Nicolaas Scholtz;3
Nicolae Frunza;3,5
Nicolas Alberto Arreche;3,5
Nicolas Alvarez;4
Nicolas Alvarez Varona;4
Nicolas Barrientos;3
Nicolas Jarry;2
Nicolas Kicker;1,5
Nicolas Meister;2,75
Nicolas Mejia;4,5
Nicolas Reissig;1,5
Nicolas Santos;3
Nicolo Turchetti;3,5
Niels Desein;3,5
Niels Lootsma;3,5
Nigmat Shofayziev;3,5
Nik Razborsek;4
Niklas Guttau;5
Nikola Cacic;3,25
Nikola Mektic;1
Nikola Milojevic;3
Nikolas Sanchez Izquierdo;5
Nikoloz Basilashvili;1
Nils Langer;2,5
Nino Serdarusic;3,5
Nitin Kumar Sinha;3,5
Noah Rubin;2,75
Nuno Borges;3,5
Olimjon Nabiev;5
Oliver Anderson;2
Oliver Crawford;4,5
Olukayode Alafia Damina Ayeni;4,25
Omar Giacalone;3,5
Omar Jasika;3
Omar Salman;3,5
Oriol Roca Batalla;3,5
Orlando Luz;3,5
Oscar Jose Gutierrez;3,5
Oscar Otte;2,5
Osni Junior;4
Pablo Andujar;4
Pablo Vivero Gonzalez;3,5
Palaphoom Kovapitukted;5
Pascal Brunner;3
Pascal Meis;3,5
Patricio Heras;3
Patrick Daciek;3
Patrick Fitzgerald;2
Patrick Kypson;4
Patrik Fabian;2,5
Patrik Nema;4
Patrik Niklas Salminen;3,5
Patrik Rikl;3,5
Patrik Rosenholm;2,5
Paul Jubb;5
Pavel Kotov;4
Pavel Krainik;3,5
Pavel Nejedly;3,5
Pavel Tsoy;3
Pawel Cias;3,5
Pedja Krstin;2,5
Pedro Bernardi;2
Pedro Cachin;3
Pedro Martinez;3
Pedro Sakamoto;3,5
Pedro Sousa;3
Pere Riba;4,25
Peter Bothwell;3,5
Peter Heller;3,5
Peter Kobelt;3,5
Peter Nagy;3,5
Peter Polansky;2,5
Peter Torebko;3,5
Peter Vajda;3,5
Petr Michnev;3,5
Petr Nouza;4,5
Petros Chrysochos;3,5
Petru Alexandru Luncanu;3,5
Phassawit Burapharitta;2
Philip Bester;2,5
Philip Davydenko;3
Pietro Licciardi;3
Pietro Rondoni;3,5
Piotr Matuszewski;4
Pol Toledo Bague;3,5
Prajnesh Gunneswaran;3,5
Pruchya Isarow;3
Purav Raja;2
Puriwat Chatpatcharoen;4
Quentin Gueydan;5,5
Quentin Halys;3
Quentin Robert;3,5
Radu Albot;1
Rafael Camilo;2
Rafael Matos;3,5
Raleigh Smith;3,5
Ramkumar Ramanathan;2,5
Ranjeet Virali Murugesan;2
Raphael Baltensperger;3,5
Raul Brancaccio;4
Raul Isaias Rosas Zarur;2,5
Ray Ho;4,5
Rayane Roumane;3,5
Raymond Sarmiento;3,2
Reda El Amrani;3,5
Reilly Opelka;2
Remi Boutillier;3
Ren Nakamura;3,5
Rene Schulte;5
Renta Tokuda;3,5
Rhett Purcell;3,5
Rhyne Williams;3
Ricardo Hocevar;2,5
Ricardo Ojeda Lara;3,2
Ricardo Rodriguez;3,5
Ricardo Urzua Rivera;2
Riccardo Balzerani;4
Riccardo Bellotti;3,5
Riccardo Bonadio;3,5
Riccardo Ghedin;1,5
Riccardo Maiga;3,5
Richard Becker;1,5
Richard Gabb;2,5
Richard Muzaev;3,5
Rigele Te;3,5
Rik De Voest;1
Rio Noguchi;4,5
Robert Galloway;3,5
Roberto Carballes Baena;1
Roberto Cid;3,5
Roberto Marcora;3
Roberto Ortega Olmedo;3,5
Roberto Quiroz;2,5
Robin Kern;3,5
Robin Stanek;3,5
Rodrigo Arus;2
Romain Arneodo;3
Romain Barbosa;3,5
Romain Jouan;3,5
Roman Hassanov;3
Roman Jebavy;2
Roman Safiullin;3,5
